id,description,steps,category,script,reason
0,turn on wi-fi,click on network & internet and then click on wi-fi the first choice. tap the toggle to turn on wi-fi.,setting,yes,None
1,show network & internet setting,tap network & internet.,setting,yes,None
2,turn on the credential storage in security & location in setting,"click security & location, and then click advanced. next, click encryption & credentials, and then finally click trusted credentials under credential storage.",setting,cant,UI
3,find device in security & location in setting,tap security & location. tap find my device,setting,yes,None
4,update system,tap system and then click advanced. finally click system update.,setting,cant,UI
5,show display in setting,click on display.,setting,yes,None
6,change clock to display time with seconds,tap more icon. click settings. tap display time with seconds.,clock,yes,None
7,show default app,tap apps & notifications. click default apps.,setting,cant,Graph
8,enable automatic backup,select system. under system tap to advanced then click backup and choose automatic restore.,setting,cant,UI
9,modify location permissions to app level,tap security & location. tap location and then turn on app level permissions button.,setting,yes,None
10,change gmail inbox theme,"click the menu icon, then go to settings choose ppppppkun@gmail.com go to inbox type and select default inbox.",gmail,yes,None
11,change system font size,tap the display in the settings app. select font size.,setting,cant,Graph
12,send money using gmail,tap compose. tap attach. click send money finally.,gmail,cant,UI
13,show the bookmarks,"tap the settings, then click on bookmarks.",chrome,yes,None
14,reload app,tap more icon. tap reload.,chrome,yes,None
15,show search engine,tap more icon. click settings. tap search engine.,chrome,yes,None
16,show assistant cards in photos,tap menu icon. select settings. click assistant cards.,photo,yes,None
17,remove geo location,tap menu icon. click settings. click remove geo location.,photo,yes,None
18,show the google photo books,tap the menu button. tap photo books.,photo,cant,UI
19,turn on wifi,"tap network & internet, then tap wi-fi, then wi-fi preferences. check turn on wi-fi automatically.",setting,cant,UI
20,turn on the airplane mode,tap network & internet and then tap airplane mode on.,setting,yes,None
21,show screen lock mode,tap security or security & location and then click screen lock.,setting,yes,None
22,improve location accuracy in setting,tap security & location. tap location. tap advanced. tap google location accuracy. tap improve location accuracy.,setting,cant,UI
23,show sleep setting,"tap the display button. press the advanced settings, then click on the sleep button.",setting,yes,None
24,turn on screen pinning,tap security & location and then advanced. tap on screen pinning and then switch screen pinning on.,setting,cant,UI & Graph
25,change clock display time to 24-hour format,tap more icon then select settings. tap on change date and time then check use 24-hour format,clock,yes,None
26,show system app,tap apps & notifications. click see all apps. tap more icon. click show system.,setting,cant,Graph
27,show about of google app,tap menu icon. click settings. click about.,google,cant,None
28,import contacts in contacts app,tap the menu icon and then click settings. click import.,contact,duplicated,None
29,change mail inbox priority,tap menu icon. tap settings. choose ppppppkun@gmail.com. tap inbox type. choose priority inbox.,gmail,yes,None
30,sync days of mail,"tap menu icon. tap settings. tap ppppppkun@gmail.com. in the data usage section, tap days of mail to sync.",gmail,yes,None
31,send email in gmail,tap menu icon. click sent.,gmail,yes,None
32,show chrome history,tap more icon. click history.,chrome,yes,None
33,turn chrome data saver on,tap more icon. click settings. under advanced tap data saver. turn on data saver.,chrome,cant,Graph
34,turn chrome pop-ups and redirects on,tap more icon. click settings. tap site settings. click pop-ups. turn pop-ups and redirects on,chrome,yes,None
35,select animation photo,click the assistant then click animation icon.,photo,yes,None
36,show upload size,click google photos app. tap menu icon. click settings. click backup & sync and then upload size.,photo,yes,None
37,start a book on google photos,tap menu icon. click photo books. click start a book.,photo,cant,UI
38,show wi-fi preferences,open settings app then click network & internet. click wi-fi. tap wi-fi preferences.,setting,yes,None
39,show private dns of network,tap the network & internet button and then tap the advanced button and tap private dns,setting,cant,UI
40,show click style,"tap more icon then click settings, and then click style button.",clock,yes,None
41,turn on wi-fi scanning in setting,tap security & location and then location and then advanced and then scanning and turn on wi-fi scanning,setting,cant,UI
42,open smart lock in setting,tap security & location. finaly click smart lock.,setting,yes,None
43,bad description,click google. click google account. click data & personalization. under activity controls click device information. turn the setting on.,setting,cant,UI
44,save screen,tap on the menu icon. and then tap on screen saver.,clock,yes,None
45,reset all app notification preferences,tap apps & notifications. tap see all apps. tap app info. tap more icon. tap reset app preferences.,setting,cant,Graph
46,voice input,"in the search bar, tap speak.",google,no,None
47,show inbox notification in gmail,"tap menu icon. tap settings. then select ppppppkun@gmail.com, and tap inbox notifications.",gmail,cant,UI
48,insert attach in gmail,tap compose and then tap attach. tap insert from drive.,gmail,yes,None
49,show all mail in gmail,click on the menu icon and then select all mail,gmail,yes,None
50,report spam in gmail,in inbox click mail test mail. click more icon at the top right corner. select report spam.,gmail,duplicated,None
