app,filename,time,events
notify,/test_init_add_nofity,1,3
notify,/test_clear,1,4
contact,/test_import_contacts,2,3
contact,/test_add_contacts,0,1
simpleCalendarPro,/test_modify_setting,3,4
simpleCalendarPro,/test_modify_view_style,2,4
simpleCalendarPro,/test_add_event,-1,4
wikipedia,/test_change_language,3,5
wikipedia,/test_init_switch,2,4
wikipedia,/test_init_search,2,2
wikipedia,/test_init_setting,2,4
expenses,/test_init_and_add_transaction,2,6
expenses,/test_init_and_add_template,2,5
ShopWithMom,/test_add_item,1,3
ShopWithMom,/test_modify_symbol,1,3
todo,/test_show_setting_and_about,1,3
todo,/test_init_and_add_todo,1,3
todo,/test_setting,1,3
todo,/test_add_todo,1,4
todo,/test_add_group,1,4
chrome,/test_encrypt_synced_data,5,6
chrome,/test_show_privacy_of_chrome,3,3
chrome,/test_show_recent_tabs_in_chrome,1,2
chrome,/test_show_chrome_history,2,2
chrome,/test_turn_site_js_setting_on,4,5
chrome,/test_show_chrome_location,5,4
chrome,/test_show_site_setting_camera,4,4
chrome,/test_show_site_settings,3,3
chrome,/test_show_search_engine,2,3
chrome,/test_change_setting_of_crash,5,5
chrome,/test_modify_payment_info,3,4
chrome,/test_show_bookmarks,2,2
chrome,/test_turn_off_sync_everything_on_chrome,6,5
chrome,/test_turn_off_translate,4,6
chrome,/test_enable_cookies_in_chrome,3,5
chrome,/test_add_language,4,4
chrome,/test_show_history_and_clear,3,3
chrome,/test_allow_sites_to_send_notifications,5,5
chrome,/test_change_new_tab_option,1,2
chrome,/test_show_help_and_feedback,2,2
chrome,/test_turn_chrome_pop-ups_redirect_on,5,5
chrome,/test_check_chrome_downloads,2,2
chrome,/test_reload_app,1,2
wallet,/test_sbt3,1,4
wallet,/test_sbt,5,3
wallet,/test_sbt2,2,4
SAI,/test_show_help_and_theme,2,5
SAI,/test_show_installer_dialogs,1,3
setting,/test_find_device,1,3
setting,/test_turn_on_wifi,2,3
setting,/test_turn_off_automatic_date,2,4
setting,/test_show_device_storage,1,2
setting,/test_show_unrestricted_data_access_app,2,4
setting,/test_configure_keyboard_theme,3,6
setting,/test_show_wifi_preferences,1,3
setting,/test_show_mobile_network,0,2
setting,/test_turn_on_show_vk,3,5
setting,/test_modify_sleep_settings,1,3
setting,/test_show_network_datausage,1,2
setting,/test_show_notification_config,1,2
setting,/test_show_display,0,1
setting,/test_show_save_wifi,2,4
setting,/test_show_battery_setting,0,1
setting,/test_turn_on_battery_saver,1,3
setting,/test_change_mobile_data,2,3
setting,/test_add_wifi,1,3
setting,/test_open_smart_lock,1,3
setting,/test_add_account,2,4
setting,/test_show_location,2,3
setting,/test_show_screen_lock_mode,2,3
setting,/test_turn_on_data_saver,2,4
setting,/test_show_network_setting,1,1
setting,/test_turn_on_diagnostics,2,5
setting,/test_turn_on_data_roaming,2,4
setting,/test_turn_off_automatic_time_zone,1,4
setting,/test_modify_location_permissions_to_applevel,1,4
setting,/test_turn_on_airplane_mode,1,2
setting,/test_turn_allow_notification_dots_on,1,3
setting,/test_turn_location_off,2,4
setting,/test_modify_text_to_speech,1,3
setting,/test_dont_show_notifications,2,4
setting,/test_show_all_notification,1,4
setting,/test_show_sleep_setting,1,3
currency,/test_add_currency_japan,3,4
setting,/test_help_setting_refresh,2,4
photo,/test_show_device_folders,2,2
photo,/test_show_assistant,0,1
photo,/test_show_photo_albums,0,1
photo,/test_turn_photos_face_grouping_off,2,4
photo,/test_start_new_share,2,3
photo,/test_show_upload_size,3,4
photo,/test_create_new_album,3,3
photo,/test_remove_geo_location,2,3
photo,/test_show_movie,1,2
photo,/test_sync_with_google_drive,3,3
photo,/test_buy_more_storage,3,4
photo,/test_show_assistant_cards,4,3
photo,/test_free_up_photo_space,2,2
photo,/test_show_photo_trash,2,2
photo,/test_select_animation_photo,1,2
photo,/test_show_back_up_and_sync,3,3
photo,/test_search,0,1
gmail,/test_show_all_mail_in_gmail,1,3
gmail,/test_show_more_in_compose,0,3
gmail,/test_modify_gmail_label,2,4
gmail,/test_show_star_mail,1,2
gmail,/test_sync_gmail,3,5
gmail,/test_turn_off_the_smart_reply,2,5
gmail,/test_insert_attach_in_gmail,1,4
gmail,/test_check_spam_mail,1,3
gmail,/test_report_mail_as_spam,1,4
gmail,/test_star_a_mail,1,3
gmail,/test_change_gmail_inbox_theme,3,6
gmail,/test_turn_vacation_responder_on,2,6
gmail,/test_choice_move_mail_to,1,4
gmail,/test_change_mail_inbox_priority,2,6
gmail,/test_show_more_on_mail,1,3
gmail,/test_show_trash,0,3
gmail,/test_show_help_and_feedback,1,3
gmail,/test_sync_days_of_mail,2,5
gmail,/test_send_email_in_gmail,1,3
gmail,/test_change_to_default_inbox,2,7
gmail,/test_reply_email,1,3
gmail,/test_delete_mail,1,3
clock,/test_change_snooze_time_in_clock_app,2,3
clock,/test_timing_with_a_stopwatch,1,2
clock,/test_display_time_with_24-hour,2,4
clock,/test_display_time_with_seconds,2,4
clock,/test_show_style,1,3
clock,/test_set_alart_on_timer,2,2
clock,/test_change_clock_style_to_digital,2,3
clock,/test_show_alarm_on_clock,0,1
clock,/test_save_screen,1,2
clock,/test_swtich_style_to_analog,2,4
