app,filename,time,events
chrome,/test_modify_payment_info.py,,4
chrome,/test_show_search_engine.py,,3
chrome,/test_change_setting_of_crash.py,,5
chrome,/test_show_chrome_location.py,,4
chrome,/test_turn_chrome_pop-ups_redirect_on.py,,6
chrome,/test_add_language.py,,5
chrome,/test_reload_app.py,,2
chrome,/test_show_chrome_history.py,,2
chrome,/test_allow_sites_to_send_notifications.py,,5
chrome,/test_show_bookmarks.py,,2
chrome,/test_check_chrome_downloads.py,,2
chrome,/test_encrypt_synced_data.py,,6
chrome,/test_show_help_and_feedback.py,,2
chrome,/test_turn_site_js_setting_on.py,,5
chrome,/test_enable_cookies_in_chrome.py,,5
chrome,/test_show_site_setting_camera.py,,4
chrome,/test_show_privacy_of_chrome.py,,3
chrome,/test_turn_off_translate.py,,4
chrome,/test_turn_off_sync_everything_on_chrome.py,,5
chrome,/test_show_recent_tabs_in_chrome.py,,2
chrome,/test_change_new_tab_option.py,,2
chrome,/test_show_site_settings.py,,3
chrome,/test_show_history_and_clear.py,,3
contact,/test_import_contacts.py,,3
contact,/test_add_contacts.py,,1
gmail,/test_sync_days_of_mail.py,,7
gmail,/test_change_to_default_inbox.py,,7
gmail,/Itest_change_mail_inbox_priority.py,,7
gmail,/test_show_trash.py,,2
gmail,/test_turn_off_the_smart_reply.py,,7
gmail,/test_report_mail_as_spam.py,,1
gmail,/Itest_report_mail_as_spam.py,,3
gmail,/test_show_more_in_compose.py,,4
gmail,/test_check_spam_mail.py,,2
gmail,/test_show_help_and_feedback.py,,5
gmail,/test_change_gmail_inbox_theme.py,,12
gmail,/test_modify_gmail_label.py,,3
gmail,/test_change_mail_inbox_priority.py,,6
gmail,/test_show_more_on_mail.py,,2
gmail,/test_show_star_mail.py,,2
gmail,/test_show_all_mail_in_gmail.py,,2
gmail,/test_star_a_mail.py,,2
gmail,/test_tap_test_mail.py,,1
gmail,/test_turn_vacation_responder_on.py,,8
gmail,/test_delete_mail.py,,2
gmail,/test_insert_attach_in_gmail.py,,3
gmail,/test_choice_move_mail_to.py,,3
gmail,/test_send_email_in_gmail.py,,2
gmail,/test_reply_email.py,,2
photo,/test_show_movie.py,,2
photo,/test_free_up_photo_space.py,,2
photo,/test_start_new_share.py,,6
photo,/Itest_show_upload_size.py,,4
photo,/test_buy_more_storage.py,,4
photo,/test_show_upload_size.py,,4
photo,/test_remove_geo_location.py,,3
photo,/test_turn_photos_face_grouping_off.py,,6
photo,/test_search.py,,1
photo,/test_create_new_album.py,,7
photo,/test_select_animation_photo.py,,2
photo,/test_sync_with_google_drive.py,,3
photo,/test_show_photo_albums.py,,1
photo,/Itest_show_back_up_and_sync.py,,3
photo,/test_show_photo_trash.py,,4
photo,/test_show_back_up_and_sync.py,,3
photo,/test_show_assistant_cards.py,,9
photo,/test_show_device_folders.py,,2
photo,/test_show_assistant.py,,1
setting,/test_turn_location_off.py,,3
setting,/Itest_show_mobile_network.py,,0
setting,/test_show_mobile_network.py,,0
setting,/test_show_location.py,,3
setting,/test_add_wifi.py,,3
setting,/test_show_wifi_preferences.py,,3
setting,/test_show_notification.py,,2
setting,/test_show_device_information.py,,2
setting,/test_show_battery_setting.py,,1
setting,/test_show_security_of_account.py,,3
setting,/test_show_save_wifi.py,,7
setting,/test_show_network_datausage.py,,2
setting,/test_show_display.py,,1
setting,/test_configure_keyboard_theme.py,,5
setting,/test_turn_on_battery_saver.py,,3
setting,/test_show_sleep_setting.py,,3
setting,/test_modify_sleep_settings.py,,3
setting,/test_show_unrestricted_data_access_app.py,,4
setting,/test_turn_on_data_saver.py,,4
setting,/test_add_account.py,,2
setting,/test_turn_on_data_roaming.py,,4
setting,/test_turn_on_show_vk.py,,4
setting,/test_turn_off_automatic_time_zone.py,,4
setting,/test_show_device_storage.py,,1
setting,/Itest_show_save_wifi.py,,8
setting,/test_show_network_setting.py,,1
setting,/test_turn_on_airplane_mode.py,,2
setting,/test_change_mobile_data.py,,3
setting,/test_modify_text_to_speech.py,,2
setting,/test_dont_show_notifications.py,,2
setting,/test_turn_on_wifi.py,,3
setting,/test_find_device.py,,2
setting,/test_turn_off_automatic_date.py,,4
setting,/test_open_smart_lock.py,,2
setting,/test_modify_location_permissions_to_applevel.py,,3
setting,/test_show_screen_lock_mode.py,,2
clock,/test_set_alart_on_timer.py,,2
clock,/test_change_snooze_time_in_clock_app.py,,6
clock,/test_change_clock_style_to_digital.py,,4
clock,/test_timing_with_a_stopwatch.py,,4
clock,/test_swtich_style_to_analog.py,,5
clock,/test_show_style.py,,4
clock,/test_show_alarm_on_clock.py,,1
clock,/test_display_time_with_24-hour.py,,5
clock,/test_save_screen.py,,2
clock,/test_display_time_with_seconds.py,,7
