app,filename,time,events
chrome,/test_encrypt_synced_data.py.log,16,
chrome,/test_show_privacy_of_chrome.py.log,10,
chrome,/test_show_recent_tabs_in_chrome.py.log,11,
chrome,/test_show_chrome_history.py.log,4,
chrome,/test_turn_site_js_setting_on.py.log,29,
chrome,/test_show_chrome_location.py.log,15,
chrome,/test_show_site_setting_camera.py.log,15,
chrome,/test_show_site_settings.py.log,13,
chrome,/test_show_search_engine.py.log,8,
chrome,/test_change_setting_of_crash.py.log,24,
chrome,/test_modify_payment_info.py.log,16,
chrome,/test_show_bookmarks.py.log,5,
chrome,/test_turn_off_sync_everything_on_chrome.py.log,13,
chrome,/test_turn_off_translate.py.log,18,
chrome,/test_enable_cookies_in_chrome.py.log,13,
chrome,/test_add_language.py.log,18,
chrome,/test_show_history_and_clear.py.log,6,
chrome,/test_allow_sites_to_send_notifications.py.log,20,
chrome,/test_change_new_tab_option.py.log,12,
chrome,/test_show_help_and_feedback.py.log,4,
chrome,/test_turn_chrome_pop-ups_redirect_on.py.log,32,
chrome,/test_check_chrome_downloads.py.log,3,
chrome,/test_reload_app.py.log,4,
contact,/test_import_contacts.py.log,5,
contact,/test_add_contacts.py.log,0,
gmail,/test_show_all_mail_in_gmail.py.log,4,
gmail,/test_show_more_in_compose.py.log,6,
gmail,/test_modify_gmail_label.py.log,14,
gmail,/test_show_star_mail.py.log,2,
gmail,/test_turn_off_the_smart_reply.py.log,27,
gmail,/test_insert_attach_in_gmail.py.log,5,
gmail,/test_check_spam_mail.py.log,5,
gmail,/test_report_mail_as_spam.py.log,17,
gmail,/test_star_a_mail.py.log,4,
gmail,/test_change_gmail_inbox_theme.py.log,32,
gmail,/test_turn_vacation_responder_on.py.log,30,
gmail,/test_choice_move_mail_to.py.log,23,
gmail,/test_change_mail_inbox_priority.py.log,41,
gmail,/test_show_more_on_mail.py.log,12,
gmail,/test_tap_test_mail.py.log,0,
gmail,/test_show_trash.py.log,3,
gmail,/test_show_help_and_feedback.py.log,7,
gmail,/test_sync_days_of_mail.py.log,29,
gmail,/test_send_email_in_gmail.py.log,4,
gmail,/test_change_to_default_inbox.py.log,30,
gmail,/test_reply_email.py.log,5,
gmail,/test_delete_mail.py.log,3,
photo,/test_show_device_folders.py.log,11,
photo,/test_show_assistant.py.log,1,
photo,/test_show_photo_albums.py.log,0,
photo,/test_turn_photos_face_grouping_off.py.log,28,
photo,/test_start_new_share.py.log,11,
photo,/test_show_upload_size.py.log,-1,
photo,/test_create_new_album.py.log,13,
photo,/test_remove_geo_location.py.log,27,
photo,/test_show_movie.py.log,3,
photo,/test_sync_with_google_drive.py.log,19,
photo,/test_buy_more_storage.py.log,16,
photo,/test_show_assistant_cards.py.log,23,
photo,/test_free_up_photo_space.py.log,11,
photo,/test_show_photo_trash.py.log,7,
photo,/test_select_animation_photo.py.log,5,
photo,/test_show_back_up_and_sync.py.log,13,
photo,/test_search.py.log,0,
setting,/test_find_device.py.log,4,
setting,/test_turn_on_wifi.py.log,10,
setting,/test_turn_off_automatic_date.py.log,7,
setting,/test_show_device_storage.py.log,1,
setting,/test_show_unrestricted_data_access_app.py.log,16,
setting,/test_show_notification.py.log,4,
setting,/test_configure_keyboard_theme.py.log,13,
setting,/test_show_wifi_preferences.py.log,13,
setting,/test_show_mobile_network.py.log,5,
setting,/test_turn_on_show_vk.py.log,10,
setting,/test_modify_sleep_settings.py.log,7,
setting,/test_show_network_datausage.py.log,4,
setting,/test_show_display.py.log,1,
setting,/test_show_save_wifi.py.log,30,
setting,/test_show_device_information.py.log,4,
setting,/test_show_battery_setting.py.log,0,
setting,/test_turn_on_battery_saver.py.log,6,
setting,/test_change_mobile_data.py.log,11,
setting,/test_show_security_of_account.py.log,7,
setting,/test_add_wifi.py.log,9,
setting,/test_open_smart_lock.py.log,5,
setting,/test_add_account.py.log,4,
setting,/test_show_location.py.log,3,
setting,/test_show_screen_lock_mode.py.log,4,
setting,/test_turn_on_data_saver.py.log,11,
setting,/test_show_network_setting.py.log,0,
setting,/test_turn_on_diagnostics.py.log,11,
setting,/test_turn_on_data_roaming.py.log,23,
setting,/test_turn_off_automatic_time_zone.py.log,8,
setting,/test_modify_location_permissions_to_applevel.py.log,7,
setting,/test_turn_on_airplane_mode.py.log,3,
setting,/test_turn_location_off.py.log,8,
setting,/test_modify_text_to_speech.py.log,4,
setting,/test_dont_show_notifications.py.log,12,
setting,/test_show_sleep_setting.py.log,24,
clock,/test_change_snooze_time_in_clock_app.py.log,11,
clock,/test_timing_with_a_stopwatch.py.log,7,
clock,/test_display_time_with_24-hour.py.log,30,
clock,/test_display_time_with_seconds.py.log,36,
clock,/test_show_style.py.log,14,
clock,/test_set_alart_on_timer.py.log,3,
clock,/test_change_clock_style_to_digital.py.log,13,
clock,/test_show_alarm_on_clock.py.log,0,
clock,/test_save_screen.py.log,6,
clock,/test_swtich_style_to_analog.py.log,20,
